,REMOTE,START_DATE,TENURE_YEARS,SALARY,AGE,DISTANCE_FROM_HOME_TO_OFFICE_MILES_IF_NOT_REMOTE,AVERAGE_COMMUTE_MINUTES_IF_NOT_REMOTE,CHANGE_READINESS_1,CHANGE_READINESS_2,CHANGE_READINESS_3,CHANGE_READINESS_4,CHANGE_READINESS_5,CHANGE_COMMITMENT_1,CHANGE_COMMITMENT_2,CHANGE_COMMITMENT_3,CHANGE_COMMITMENT_4,CHANGE_COMMITMENT_5,SLEEP_INTERVENTION,EXERCISE_INTERVENTION,SMOKING_INTERVENTION,PRE_HOURS_OF_SLEEP,PRE_QUALITY_OF_SLEEP,PRE_DAILY_EXERCISE_MIN,PRE_BMI,PRE_SMOKING,POST_HOURS_OF_SLEEP,POST_QUALITY_OF_SLEEP,POST_DAILY_EXERCISE,POST_BMI,POST_SMOKING,PRE_ABSENTEEISM_DAYS_MONTH,PRE_PERFORMANCE,PRE_INTENTION_TO_STAY,POST_INTENTION_TO_STAY,POST_ABSENTEEISM,POST_PERFORMANCE,PRE_ENGAGEMENT_QUESTION_1,PRE_ENGAGEMENT_QUESTION_2,PRE_ENGAGEMENT_QUESTION_3,PRE_SATISFACTION_QUESTION_1,PRE_SATISFACTION_QUESTION_2,PRE_SATISFACTION_QUESTION_3,POST_ENGAGEMENT_QUESTION_1,POST_ENGAGEMENT_QUESTION_2,POST_ENGAGEMENT_QUESTION_3,POST_SATISFACTION_QUESTION_1,POST_SATISFACTION_QUESTION_2,POST_SATISFACTION_QUESTION_3,GENDER_FEMALE,GENDER_MALE,CHILDREN__N,CHILDREN__Y,RACE_ASIAN,RACE_BLACK,RACE_HISPANIC,RACE_NATIVE_AMERICAN,RACE_TWO_OR_MORE_RACES,RACE_WHITE,OFFICE_LOCATION_CO,OFFICE_LOCATION_IL,OFFICE_LOCATION_MN,OFFICE_LOCATION_UT,EMPLOYEE_LEVEL_DIRECTOR,EMPLOYEE_LEVEL_JUNIOR,EMPLOYEE_LEVEL_MANAGER,EMPLOYEE_JOB_FAMILY_ACCOUNTING_AND_FINANCE,EMPLOYEE_JOB_FAMILY_ADMINISTRATIVE,EMPLOYEE_JOB_FAMILY_CUSTOMER_SERVICE,EMPLOYEE_JOB_FAMILY_LEGAL,EMPLOYEE_JOB_FAMILY_MARKETING_AND_SALES
412,1,1628640000,2.9910958903718923,99985.32,26.27361351921862,5.477680212798287,9,3,3,3,3,3,3,3,3,3,3,0,1,0,11,3,34,19,0,11,3,36,21,0,1,5,1,1,1,4,5,5,2,4,5,5,5,5,2,5,5,5,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
413,0,1619740800,3.273094521446499,43766.1,30.694587842899416,7.673375060099159,12,3,3,3,3,3,3,3,3,3,3,0,1,0,8,3,24,27,0,8,3,25,29,0,0,3,3,3,0,3,2,3,2,3,3,3,2,3,2,3,3,4,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
414,0,1614556800,3.437365568674425,27526.473661065036,25.889924810742116,4.479185240444562,12,3,3,3,3,3,3,3,3,3,3,0,1,0,9,3,11,22,0,9,3,11,23,0,0,3,3,4,0,3,4,1,1,3,3,3,5,1,1,4,3,4,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
415,0,1591142400,4.179323131987225,56446.950000000004,26.0,18.64637041485355,24,3,1,1,2,2,1,4,4,2,1,1,1,0,7,5,16,29,0,7,5,16,29,0,1,4,1,2,1,5,2,3,3,4,3,3,1,1,2,5,4,4,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
416,1,1589414400,4.234080147729866,108047.52,25.522480511524787,34.350924376335996,36,3,3,3,3,3,3,3,3,3,3,0,1,0,6,4,10,20,0,7,4,9,19,0,1,4,2,1,1,4,3,4,2,4,3,3,3,4,2,5,3,3,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
417,0,1576540800,4.64201991501255,48758.85,30.64987420008062,24.686724862513692,29,3,3,3,3,3,3,3,3,3,3,0,1,0,7,4,54,16,17,7,4,54,17,19,1,4,3,3,1,4,2,2,3,3,3,3,2,2,3,3,3,3,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
418,1,1502409600,6.991095890371892,32742.15,30.103774307192047,28.654260944240246,36,3,3,3,3,3,3,3,3,3,3,0,1,0,6,4,12,36,19,7,4,14,37,19,3,2,3,3,3,2,1,1,1,4,3,4,1,1,2,5,3,4,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
419,0,1501372800,7.023950099817478,40289.55,28.485820326417105,30.2156519811354,33,3,3,3,3,3,3,3,3,3,3,0,1,0,5,5,25,25,0,5,5,23,25,0,1,5,1,1,1,5,3,3,2,5,5,5,3,3,2,5,4,5,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
420,0,1480982400,7.670082885580654,109785.24,34.974551370364566,20.35743243435255,24,3,3,3,3,3,3,3,3,3,3,0,0,0,6,4,14,36,0,6,4,15,36,0,0,5,4,4,0,5,1,2,3,4,4,3,1,2,3,4,4,3,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
421,1,1545868800,5.613956944444445,25777.5,30.0,29.798659009718097,33,2,4,4,5,4,3,4,2,2,1,1,1,0,6,5,22,28,0,6,5,58,20,0,1,2,2,2,0,3,2,1,2,4,4,4,5,5,3,5,5,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
422,0,1640304000,2.6214860341090587,26878.667736414376,21.0,31.651901972883746,36,4,1,1,5,1,2,3,4,1,1,1,1,0,7,5,18,35,0,7,5,20,30,0,0,3,3,4,0,3,3,1,4,3,4,3,5,2,5,4,5,4,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
423,1,1658188800,2.054750921172714,29357.730065850963,21.0,26.894129159740785,32,1,4,1,3,5,5,4,2,1,1,1,1,1,6,5,46,34,10,6,5,46,32,6,1,3,1,1,0,3,1,3,3,3,3,3,1,2,1,5,4,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
424,1,1573344000,4.743320394136437,50527.05,28.0,30.705700491930955,37,1,1,2,4,1,3,4,3,3,3,1,1,0,6,4,7,34,0,6,4,27,30,0,1,3,1,1,1,3,2,3,4,5,5,4,2,4,5,5,5,5,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
425,0,1629244800,2.971930934861968,32911.057092167124,24.0,26.1139243581897,30,4,1,1,1,1,2,3,3,4,2,1,1,0,5,4,16,29,0,6,4,16,27,0,0,3,3,4,0,3,3,3,1,5,5,5,4,4,2,5,5,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
426,1,1387929600,10.618748183321927,87869.88,49.0,9.91604407579066,15,4,2,3,3,2,2,4,1,3,3,1,0,0,7,4,3,26,0,8,5,3,26,0,1,4,5,5,1,4,2,1,3,3,4,5,2,1,3,5,5,5,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
427,0,1596844800,3.9986249800365057,29187.135226229933,24.0,27.108851370818453,31,4,2,2,4,4,4,5,1,3,4,1,1,0,6,4,28,25,0,7,5,28,18,0,1,4,1,1,0,4,1,2,5,3,3,3,4,5,5,4,4,4,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
428,0,1505347200,6.898008963609401,36414.0,30.0,18.714584725613467,23,2,1,2,4,3,4,4,2,3,1,1,1,0,7,5,13,33,0,7,5,23,28,0,1,3,3,3,1,3,2,1,1,3,4,4,4,3,1,4,5,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
429,0,1512691200,6.665291646703173,47571.3,29.0,26.449978609616053,28,1,4,2,3,4,4,2,4,2,2,1,1,0,5,3,2,26,0,5,3,22,24,0,2,3,3,3,0,3,1,1,1,4,5,5,1,1,1,5,5,5,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
430,0,1419984000,9.603005541295918,56297.850000000006,32.0,19.385080339513248,27,3,4,3,3,4,1,1,1,2,3,1,0,0,6,4,53,25,0,6,4,67,26,0,0,3,5,5,0,4,2,1,4,3,5,5,3,2,5,4,5,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
431,0,1394755200,10.40245797113849,40556.25,32.0,18.660317794853057,26,4,4,1,4,5,3,1,1,3,5,1,0,0,6,5,24,35,0,6,5,24,30,0,1,3,4,4,0,4,4,5,1,3,4,4,5,5,2,4,5,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
432,0,1498003200,7.1307262805156295,35446.950000000004,33.0,11.585904958757204,17,1,5,2,4,4,5,3,3,1,1,1,0,1,7,5,5,26,26,7,5,11,20,13,3,4,3,3,2,4,2,1,1,4,5,5,5,3,3,5,5,5,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
433,1,1662508800,1.9178583818161088,28683.87488149515,23.0440413723072,28.59877957292892,36,3,3,3,3,3,3,3,3,3,3,0,1,0,6,3,7,26,0,6,3,7,27,0,1,2,1,1,1,2,1,2,1,5,5,3,1,2,1,5,5,4,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
434,0,1656028800,2.123197190851016,31367.359999794608,23.071745064749987,18.063266051236173,22,3,3,3,3,3,3,3,3,3,3,0,1,0,6,4,6,26,0,6,4,8,28,0,1,1,1,2,1,2,1,2,4,3,3,3,1,2,4,3,3,3,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
435,1,1637884800,2.6981458561487575,29255.46711172016,24.252823346018175,18.001057099914718,26,3,3,3,3,3,3,3,3,3,3,0,1,0,6,4,29,24,0,6,4,30,24,0,1,3,1,1,1,3,2,1,1,3,3,3,2,1,1,5,3,3,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
436,0,1620691200,3.2429781627880456,30261.0,26.20872497956143,4.274522985969879,8,3,3,3,3,3,3,3,3,3,3,0,1,0,11,5,24,30,0,12,5,25,31,0,0,4,3,4,0,4,4,3,3,4,3,3,4,3,3,4,3,3,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
437,0,1616803200,3.3661814482089905,28572.600000000002,28.718997167319973,21.042894879033014,23,3,3,3,3,3,3,3,3,3,3,0,1,0,5,3,26,24,0,5,4,26,25,0,0,3,3,3,0,3,2,5,5,5,4,3,2,5,5,5,4,3,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
438,0,1612828800,3.492122584417067,28684.607251560014,22.59599262515168,6.199417211922002,10,3,3,3,3,3,3,3,3,3,3,0,1,0,10,4,13,35,12,10,4,13,34,13,2,5,1,1,2,5,1,1,1,3,3,3,1,1,1,3,3,3,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
439,0,1603324800,3.793286171001598,26383.867270005292,22.958701608652536,4.654663257479304,12,3,3,3,3,3,3,3,3,3,3,0,1,0,7,4,22,28,0,7,5,23,30,0,0,2,1,1,0,2,4,2,1,3,3,3,4,2,1,3,4,4,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
440,1,1593993600,4.088974056011865,34402.200000000004,24.727924306310737,20.124586666845087,28,3,3,3,3,3,3,3,3,3,3,0,1,0,6,4,16,32,0,7,4,15,31,0,1,2,2,1,1,1,3,1,1,3,3,3,3,1,1,5,3,3,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
441,1,1593302400,4.110876862308922,54840.450000000004,27.346323170135992,21.164854337095434,27,3,3,3,3,3,3,3,3,3,3,0,1,0,6,5,16,23,0,6,5,17,24,0,1,5,1,2,1,4,1,1,5,5,5,3,1,2,5,5,5,3,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
442,1,1584576000,4.387399791809264,56647.5,27.627954658023167,11.008376720816068,17,3,3,3,3,3,3,3,3,3,3,0,1,0,7,3,7,30,0,7,3,8,31,0,1,5,1,1,1,4,1,1,2,5,5,3,1,1,2,5,5,4,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
443,1,1563667200,5.049959682295232,47260.5,26.56974788595387,20.884310626984217,22,3,3,3,3,3,3,3,3,3,3,0,1,0,7,3,11,22,0,7,3,9,21,0,1,5,2,2,1,4,1,1,1,5,5,5,1,1,1,5,5,5,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
444,0,1558569600,5.211492878736027,49472.85,29.696199575039063,11.353414839235974,17,3,3,3,3,3,3,3,3,3,3,0,1,0,6,5,6,35,0,6,5,8,36,0,2,4,3,3,2,5,2,4,2,4,3,3,3,4,2,4,3,3,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
445,0,1546214400,5.603005541295917,42525.0,33.63379225190755,15.248254294611474,20,3,3,3,3,3,3,3,3,3,3,0,0,0,6,4,20,32,0,6,4,21,33,0,1,3,3,4,1,3,2,2,3,3,3,3,2,2,3,4,3,3,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
446,1,1538438400,5.849412112137806,46594.8,29.455648204196606,27.68153931211663,31,3,3,3,3,3,3,3,3,3,3,0,1,0,5,4,7,24,0,6,4,8,24,0,1,4,1,1,1,4,1,2,1,3,5,5,2,2,1,5,5,5,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
447,1,1523664000,6.317584596737396,39550.35,27.466592878986162,15.806121878306385,22,3,3,3,3,3,3,3,3,3,3,0,1,0,7,3,24,24,0,7,3,23,23,0,1,2,3,3,1,1,1,2,2,3,5,5,1,2,1,5,5,4,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
448,1,1465344000,8.165633878051564,54907.65,31.29582484283832,25.279562821047016,29,3,3,3,3,3,3,3,3,3,3,0,0,0,7,3,29,23,0,8,2,29,23,0,1,5,5,5,1,4,1,1,1,3,4,3,1,1,1,5,4,3,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
449,0,1433548800,9.173162967716177,50968.05,33.481244579824725,21.062168197584192,23,3,3,3,3,3,3,3,3,3,3,0,0,0,6,5,10,32,0,6,5,11,33,0,1,1,4,4,1,2,2,1,1,3,4,5,2,2,1,3,4,5,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
450,0,1390521600,10.536612659707963,44398.200000000004,29.00102942736137,28.46729568464509,32,3,3,3,3,3,3,3,3,3,3,0,1,0,7,5,24,25,0,7,5,23,23,0,0,5,4,4,0,5,3,4,1,5,3,4,2,4,1,5,3,3,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
451,1,1332288000,12.381924090235,110861.76,37.153934906610985,29.616765324680497,32,3,3,3,3,3,3,3,3,3,3,0,0,0,7,2,38,25,0,8,2,37,23,0,1,4,4,4,1,4,3,3,1,4,5,5,3,3,1,5,5,4,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
452,0,1227657600,15.697461393451974,255640.00000000003,41.753234075014205,9.588661225904783,14,3,3,3,3,3,3,3,3,3,3,0,0,0,5,1,1,38,0,5,1,3,39,0,3,5,5,4,3,5,1,1,1,4,4,4,1,1,2,4,4,4,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
453,0,1394064000,10.424360777435547,55910.4,32.0,30.602362546904963,33,4,1,4,5,3,4,2,4,4,3,1,0,0,6,4,17,28,0,7,4,17,33,0,1,5,5,5,1,5,2,4,1,3,3,5,3,5,2,4,4,5,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
454,0,1551657600,5.430520941706595,45728.55,33.0,25.342753511468526,31,3,3,1,2,1,2,1,2,2,1,1,0,1,7,3,14,37,24,7,3,14,37,22,3,4,2,2,3,4,3,3,1,5,3,5,2,2,2,5,4,5,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
455,0,1622246400,3.193696848619668,32963.33033579497,24.0,27.92459700017042,30,2,2,1,5,4,4,2,1,1,1,1,1,0,7,5,7,31,0,7,5,7,33,0,1,2,1,1,1,2,1,1,2,3,3,3,1,1,2,4,4,4,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
456,0,1361059200,11.47021977812001,104685.66,51.0,26.73078425240556,28,5,4,2,2,1,1,2,1,4,4,1,0,0,6,5,27,20,0,7,5,34,23,0,1,4,4,4,0,4,2,2,1,5,5,5,2,1,1,5,5,5,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
457,0,1539475200,5.816557902692221,34461.0,29.0,23.12958110100018,31,1,5,3,4,2,3,4,3,2,1,1,1,0,6,3,11,29,0,6,4,15,24,0,1,3,3,4,1,3,1,2,4,3,3,3,3,3,5,4,4,4,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
458,0,1652832000,2.224497669974904,31987.44110847301,23.0,25.87197566163335,31,1,2,1,2,2,4,4,1,2,2,1,1,0,6,5,25,27,0,6,5,35,22,0,1,2,1,2,1,2,2,1,5,5,5,5,3,3,5,5,5,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
459,1,1482451200,7.623539422199408,51637.950000000004,30.0,26.172956774951892,31,2,2,3,3,3,1,2,4,1,4,1,1,0,6,5,24,23,0,7,5,24,23,0,1,5,4,4,1,4,2,3,2,3,3,3,1,1,1,5,4,4,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
460,0,1656979200,2.0930808321925634,28199.257500212003,21.0,17.47422367764009,20,2,4,2,4,3,4,4,1,2,1,1,1,0,8,4,29,28,0,8,5,35,25,0,1,3,3,3,0,3,5,5,4,3,3,4,5,5,5,5,4,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
461,1,1595030400,4.05611984656628,56450.100000000006,32.0,17.121119571056305,24,4,1,3,5,2,1,3,5,4,1,1,0,1,7,5,27,27,19,8,5,27,31,10,2,5,1,1,0,4,1,1,1,4,5,5,1,1,1,5,5,5,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
462,0,1482796800,7.61258801905088,55171.200000000004,30.0,24.04491160561932,32,3,3,2,2,1,1,3,3,4,4,1,1,0,6,4,21,34,0,7,4,25,28,0,1,5,1,1,1,5,3,1,1,3,5,5,4,2,2,4,5,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
463,0,1481587200,7.650917930070729,91644.48000000001,47.0,31.82338198242519,36,1,1,4,1,2,4,1,3,3,2,1,0,0,6,3,14,35,0,6,3,14,33,0,2,4,5,5,1,5,3,3,2,4,5,5,5,2,3,5,5,5,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
464,0,1630713600,2.925387471480722,29685.085960541837,19.558391217536915,21.930446852828787,25,3,3,3,3,3,3,3,3,3,3,0,1,0,6,5,57,21,0,6,5,56,20,0,1,1,1,1,1,1,2,2,4,3,4,4,2,2,4,3,4,4,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
465,0,1588118400,4.275147909536848,42593.25,31.0,24.842271824368485,30,3,1,2,1,2,1,2,1,2,1,1,0,0,6,3,3,27,0,6,3,3,27,0,0,4,2,2,0,5,2,2,2,4,4,3,2,2,2,5,5,4,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
466,0,1471392000,7.973984322952317,46958.1,30.0,26.51059345125904,34,4,1,3,5,1,5,5,1,4,4,1,1,1,6,5,19,27,14,7,5,55,23,0,2,5,4,4,0,3,4,1,1,3,5,5,5,5,5,4,5,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
467,0,1618531200,3.311424432466348,28185.15,25.0,26.844532622972604,30,5,1,5,1,1,1,1,4,2,1,1,1,0,6,4,45,26,0,6,4,45,25,0,1,1,1,1,0,1,1,4,3,3,3,3,1,4,3,4,4,4,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
468,0,1610668800,3.5605688540953695,55121.850000000006,26.0,29.072144098925094,33,1,1,1,5,2,3,1,1,3,1,1,1,0,5,3,49,30,0,5,3,49,31,0,1,5,3,4,0,5,3,2,4,5,5,5,2,2,3,5,5,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
469,0,1551484800,5.435996643280859,44886.450000000004,28.0,6.5489952411644206,8,1,4,5,4,3,1,3,4,4,2,1,1,0,8,5,10,28,0,8,5,10,24,0,1,5,3,4,1,5,2,3,3,4,5,5,2,3,3,5,5,5,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
470,0,1162080000,17.77549014088524,221826.00000000003,44.0,15.189620972938958,18,4,4,1,1,2,2,1,2,2,2,1,0,1,6,2,26,32,24,6,2,26,32,22,3,4,5,5,3,5,1,1,1,5,5,5,2,2,1,5,5,5,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
471,0,1550793600,5.457899449577916,49472.85,29.0,11.353414839235974,17,3,3,5,5,4,4,4,1,4,2,1,1,0,9,5,6,30,0,9,5,16,27,0,1,4,2,2,1,4,1,2,2,3,3,3,3,4,3,4,4,4,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
472,0,1501632000,7.015736547456082,46473.0,29.0,10.438924953385332,17,1,2,1,5,4,4,5,3,3,2,1,1,0,8,5,8,36,0,9,5,28,23,0,1,4,5,5,1,5,3,4,2,3,5,3,3,5,3,4,5,4,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
473,0,1549411200,5.50170506217203,32484.9,32.0,15.758952339763924,19,2,2,3,2,4,1,1,3,1,4,1,0,0,6,4,15,24,0,6,4,15,20,0,1,4,4,4,1,4,2,3,3,3,3,3,3,4,4,4,4,4,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
474,1,1601337600,3.8562567391056364,47076.75,30.0,30.87266997141583,35,2,1,4,4,3,1,5,4,3,2,1,1,0,6,4,2,27,0,6,4,2,27,0,1,4,1,1,1,4,1,1,2,3,3,3,1,1,2,5,4,4,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
475,0,1536883200,5.898693426306184,101449.8,43.0,28.183317084323363,36,3,5,2,5,3,4,3,1,4,2,1,0,1,7,4,4,25,25,7,5,4,21,9,3,4,3,4,0,4,1,1,2,3,5,5,5,4,5,4,5,5,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
476,1,1294963200,13.564675630276067,87801.6,53.0,26.917692078664725,33,2,1,4,2,3,1,5,3,2,2,1,0,1,6,5,14,37,15,7,5,14,37,8,0,4,4,4,0,4,1,1,1,5,3,4,1,1,1,5,4,5,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
477,0,1621123200,3.2292889088523853,33498.15,26.0,21.924436809865774,23,2,1,4,4,3,3,4,3,4,3,1,1,0,7,5,12,33,0,8,5,22,28,0,0,4,3,3,0,4,2,1,4,3,5,5,2,2,5,4,5,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
478,0,1623456000,3.1553669375998186,43273.65,26.0,13.018239542497366,17,1,4,3,1,4,1,4,1,4,1,1,1,0,8,4,25,25,0,8,4,25,29,0,1,3,3,4,1,3,1,3,4,5,3,3,1,3,4,5,4,4,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
479,1,1591833600,4.157420325690167,30448.95,24.299958846244905,3.8318944686579313,9,3,3,3,3,3,3,3,3,3,3,0,1,0,9,4,27,30,0,9,3,26,28,0,1,5,2,2,1,4,2,2,1,3,3,4,1,2,1,5,3,4,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
480,0,1618876800,3.30047302931782,40294.8,26.0,26.889860555329133,29,4,3,5,1,5,5,3,1,5,2,1,1,0,6,4,5,27,0,7,4,5,22,0,0,5,1,1,0,5,2,4,2,5,3,4,5,5,3,5,4,5,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
481,0,1490572800,7.36618144820899,54907.65,32.0,25.279562821047016,29,2,4,4,1,1,2,4,1,3,4,1,0,0,6,3,29,32,0,6,3,29,32,0,1,3,3,3,1,3,3,1,3,5,5,4,2,1,3,5,5,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
482,0,1536710400,5.904169127880448,54035.100000000006,29.0,14.625059356615925,20,5,3,4,2,3,5,2,4,4,3,1,1,0,6,4,22,33,0,7,4,25,31,0,1,5,3,4,1,5,3,3,2,5,4,5,5,5,5,5,5,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
483,0,1590624000,4.195750236710017,44667.0,30.0,16.078073690639176,20,2,3,4,2,4,1,1,3,1,5,1,1,0,8,3,8,23,0,8,3,8,26,0,1,1,2,2,1,1,3,4,3,3,3,3,3,4,3,4,4,4,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
484,1,1486252800,7.503073987565595,256028.34400000004,32.0,29.031413739999497,34,1,2,1,5,2,2,5,3,3,1,1,0,0,5,2,28,24,0,5,2,28,24,0,1,4,4,4,1,4,2,1,3,5,4,4,2,1,3,5,5,5,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
485,0,1662681600,1.9123826802418444,33060.887481435675,23.0,9.811411439274503,17,1,1,3,1,5,1,4,5,1,3,1,1,0,7,3,13,34,0,7,3,13,32,0,1,3,1,1,1,3,4,3,1,4,4,5,5,5,5,5,5,5,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
486,0,1567468800,4.92949424766142,55429.5,29.0,32.43023046689436,37,4,1,5,3,4,2,2,1,5,2,1,1,0,7,4,33,22,0,7,4,33,19,0,1,5,2,2,0,5,5,1,3,4,3,3,5,5,5,5,5,5,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
487,0,1611446400,3.5359281970111804,32980.528707468315,24.0,10.436584518381713,17,3,4,3,3,1,4,2,1,3,4,1,1,0,6,3,13,33,0,6,3,23,33,0,1,3,3,4,1,3,1,1,3,5,4,3,1,2,3,5,5,4,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
488,0,1622505600,3.1854832962582718,38380.65,27.0,21.62066088132022,23,1,3,3,1,1,1,3,3,3,1,1,1,0,7,4,39,28,0,7,4,40,25,0,1,1,1,1,0,2,1,4,4,3,3,3,3,5,5,5,4,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
